Level,Date and Time,Source,Event ID,Task Category,Message
Information,2026-05-01 00:10:00,Service Control Manager,7000,None,The update operation completed.
Warning,2026-05-01 00:26:00,Microsoft-Windows-WindowsUpdateClient,31,None,A service took longer than expected to respond.
Warning,2026-05-01 00:47:00,Winlogon,6006,None,A service took longer than expected to respond.
Information,2026-05-01 00:51:00,Microsoft-Windows-WindowsUpdateClient,19,None,The update operation completed.
Information,2026-05-01 01:02:00,Microsoft-Windows-DistributedCOM,10016,None,A Windows service changed state.
Information,2026-05-01 01:19:00,Microsoft-Windows-DistributedCOM,10016,None,The operation completed successfully.
Warning,2026-05-01 01:21:00,Microsoft-Windows-Kernel-Power,41,None,A device reported a recoverable condition.
Information,2026-05-01 01:28:00,Microsoft-Windows-DistributedCOM,10016,None,The update operation completed.
Information,2026-05-01 01:49:00,Microsoft-Windows-Kernel-Power,41,None,A Windows service changed state.
Warning,2026-05-01 02:33:00,Microsoft-Windows-Kernel-Power,109,None,A service took longer than expected to respond.
Warning,2026-05-01 02:38:00,Microsoft-Windows-DistributedCOM,10010,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-01 02:47:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Warning,2026-05-01 03:28:00,Microsoft-Windows-DistributedCOM,10010,None,A device reported a recoverable condition.
Warning,2026-05-01 04:14:00,Service Control Manager,7000,None,A device reported a recoverable condition.
Information,2026-05-01 04:26:00,Microsoft-Windows-DistributedCOM,10016,None,A Windows service changed state.
Warning,2026-05-01 04:39:00,Microsoft-Windows-WindowsUpdateClient,43,None,A service took longer than expected to respond.
Information,2026-05-01 04:58:00,Microsoft-Windows-DistributedCOM,10010,None,The operation completed successfully.
Information,2026-05-01 05:09:00,Microsoft-Windows-DistributedCOM,10010,None,A user session was started.
Warning,2026-05-01 05:41:00,Microsoft-Windows-DistributedCOM,10016,None,A service took longer than expected to respond.
Error,2026-05-01 06:54:00,Microsoft-Windows-DistributedCOM,10016,None,An application stopped responding.
Information,2026-05-01 06:57:00,Microsoft-Windows-WindowsUpdateClient,31,None,The operation completed successfully.
Warning,2026-05-01 07:01:00,Microsoft-Windows-DistributedCOM,10010,None,A device reported a recoverable condition.
Information,2026-05-01 07:18:00,Service Control Manager,7031,None,The update operation completed.
Information,2026-05-01 07:26:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Information,2026-05-01 07:37:00,Microsoft-Windows-Kernel-Power,41,None,The operation completed successfully.
Information,2026-05-01 08:10:00,Service Control Manager,7031,None,A user session was started.
Information,2026-05-01 09:10:00,Microsoft-Windows-DistributedCOM,10010,None,A user session was started.
Error,2026-05-01 10:25:00,Microsoft-Windows-DistributedCOM,10010,None,An application stopped responding.
Information,2026-05-01 10:29:00,Microsoft-Windows-Security-Auditing,4624,None,A user session was started.
Information,2026-05-01 11:50:00,Microsoft-Windows-DistributedCOM,10010,None,A user session was started.
Warning,2026-05-01 11:53:00,Microsoft-Windows-DistributedCOM,10016,None,A service took longer than expected to respond.
Information,2026-05-01 12:14:00,Microsoft-Windows-Kernel-Power,41,None,A Windows service changed state.
Information,2026-05-01 13:02:00,Application Error,1000,None,The operation completed successfully.
Warning,2026-05-01 13:27:00,Service Control Manager,7031,None,A device reported a recoverable condition.
Information,2026-05-01 14:56:00,Service Control Manager,7040,None,The operation completed successfully.
Information,2026-05-01 14:58:00,Microsoft-Windows-DistributedCOM,10016,None,The update operation completed.
Warning,2026-05-01 15:02:00,Microsoft-Windows-WindowsUpdateClient,19,None,The application-specific permission settings do not grant Local Activation permission.
Warning,2026-05-01 15:09:00,Microsoft-Windows-DistributedCOM,10010,None,A device reported a recoverable condition.
Information,2026-05-01 15:22:00,Microsoft-Windows-Security-Auditing,4624,None,A Windows service changed state.
Error,2026-05-01 15:56:00,Microsoft-Windows-DistributedCOM,10010,None,A service terminated unexpectedly.
Warning,2026-05-01 15:58:00,Microsoft-Windows-DistributedCOM,10016,None,A service took longer than expected to respond.
Information,2026-05-01 16:01:00,Microsoft-Windows-DistributedCOM,10010,None,A Windows service changed state.
Information,2026-05-01 18:44:00,Microsoft-Windows-Security-Auditing,4624,None,A user session was started.
Warning,2026-05-01 18:57:00,Service Control Manager,7001,None,A service took longer than expected to respond.
Information,2026-05-01 18:58:00,Application Error,1000,None,A user session was started.
Warning,2026-05-01 19:50:00,Microsoft-Windows-WindowsUpdateClient,20,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-01 20:55:00,Winlogon,6005,None,A Windows service changed state.
Warning,2026-05-01 21:15:00,Microsoft-Windows-DistributedCOM,10010,None,A device reported a recoverable condition.
Information,2026-05-01 21:36:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Information,2026-05-01 22:14:00,Service Control Manager,7001,None,The update operation completed.
Warning,2026-05-01 22:57:00,Service Control Manager,7040,None,A device reported a recoverable condition.
Information,2026-05-01 23:21:00,Microsoft-Windows-DistributedCOM,10010,None,The operation completed successfully.
Information,2026-05-02 00:17:00,Application Error,1000,None,A Windows service changed state.
Information,2026-05-02 00:42:00,Microsoft-Windows-DistributedCOM,10016,None,The operation completed successfully.
Warning,2026-05-02 01:23:00,Microsoft-Windows-WindowsUpdateClient,43,None,A device reported a recoverable condition.
Information,2026-05-02 02:02:00,Microsoft-Windows-WindowsUpdateClient,20,None,The operation completed successfully.
Information,2026-05-02 02:05:00,Microsoft-Windows-WindowsUpdateClient,20,None,The update operation completed.
Information,2026-05-02 02:13:00,Microsoft-Windows-DistributedCOM,10016,None,The operation completed successfully.
Error,2026-05-02 04:58:00,Microsoft-Windows-DriverFrameworks-UserMode,10110,None,An application stopped responding.
Information,2026-05-02 05:09:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Information,2026-05-02 05:38:00,Service Control Manager,7031,None,The operation completed successfully.
Information,2026-05-02 05:58:00,Microsoft-Windows-WindowsUpdateClient,43,None,The update operation completed.
Information,2026-05-02 06:22:00,Service Control Manager,7001,None,The operation completed successfully.
Warning,2026-05-02 07:02:00,Microsoft-Windows-DistributedCOM,10010,None,The application-specific permission settings do not grant Local Activation permission.
Warning,2026-05-02 07:31:00,Microsoft-Windows-WindowsUpdateClient,31,None,A device reported a recoverable condition.
Information,2026-05-02 07:57:00,Microsoft-Windows-DistributedCOM,10010,None,The update operation completed.
Information,2026-05-02 08:43:00,Microsoft-Windows-WindowsUpdateClient,31,None,A Windows service changed state.
Information,2026-05-02 08:57:00,Application Error,1000,None,The update operation completed.
Information,2026-05-02 09:28:00,Microsoft-Windows-WindowsUpdateClient,19,None,A user session was started.
Information,2026-05-02 09:36:00,Microsoft-Windows-WindowsUpdateClient,31,None,The operation completed successfully.
Information,2026-05-02 09:39:00,Microsoft-Windows-DistributedCOM,10016,None,A Windows service changed state.
Warning,2026-05-02 09:47:00,Microsoft-Windows-WindowsUpdateClient,43,None,A service took longer than expected to respond.
Error,2026-05-02 09:50:00,Microsoft-Windows-WindowsUpdateClient,20,None,A service terminated unexpectedly.
Warning,2026-05-02 10:10:00,Service Control Manager,7001,None,A service took longer than expected to respond.
Warning,2026-05-02 10:28:00,Application Error,1001,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-02 10:31:00,Microsoft-Windows-DistributedCOM,10016,None,A user session was started.
Information,2026-05-02 10:56:00,Microsoft-Windows-DistributedCOM,10016,None,A Windows service changed state.
Warning,2026-05-02 11:00:00,Microsoft-Windows-WindowsUpdateClient,31,None,The application-specific permission settings do not grant Local Activation permission.
Warning,2026-05-02 11:07:00,Microsoft-Windows-DriverFrameworks-UserMode,10110,None,The application-specific permission settings do not grant Local Activation permission.
Information,2026-05-02 11:18:00,Microsoft-Windows-Security-Auditing,4624,None,A user session was started.
Critical,2026-05-02 12:01:00,Microsoft-Windows-DistributedCOM,10010,None,A critical system component stopped unexpectedly.
Warning,2026-05-02 12:17:00,Winlogon,6006,None,A device reported a recoverable condition.
Information,2026-05-02 12:53:00,Microsoft-Windows-WindowsUpdateClient,31,None,The update operation completed.
Information,2026-05-02 13:17:00,Microsoft-Windows-Security-Auditing,4634,None,A Windows service changed state.
